time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
1.5000000000000009,-2.694817150450428,0.4595011188917515,0.0,0.43333580314886433,1.702762959900622,0.0,-6.1006541908786005,0.21118371108713488,-5.811366226804535,-0.5110635773391272,-0.3598253058714148,0.0,382.6670849788864,347.4010048626231,509.1773263077856,548.2171642301497,1,-74.99999889051328
0.18,-0.002832686529512474,-0.02067232234443739,0.0,1.8952813937367274,0.7635887081027235,0.0,0.13218511738054461,-0.2180459248668208,-0.8758979679178557,-0.34973507714207647,-2.6105902764354836,0.0,406.693770986022,318.80579120390234,546.7868882662982,454.29831191787014,2,-8.99999996248304
0.18,0.0005912461515641964,0.00302277011487911,0.0,5.759176361994005,4.987024371840619,0.0,0.39616235506723746,-0.003182883059068508,-0.5414320873274558,-1.0213396626463336,0.7149515518801464,0.0,325.2483332776363,320.04760632390645,481.18042808602553,464.16231127538146,3,-8.999999962613456
0.18,-0.003347370332946914,-0.020012961210714674,0.0,2.1152075396125056,0.5176409110101368,0.0,0.12912733691742917,-0.20860405210437188,-0.8471354425911624,-0.3541134232559128,-2.593441613667922,0.0,405.61361646075414,319.27353122761264,547.4568495279856,454.4435981732008,4,-8.99999996247859
1.5000000000000009,-2.3578768248216835,0.5367897191943602,0.0,3.147495525816108,5.51990636185484,0.0,-4.801647043841461,0.7106328733392857,-5.632710099867928,1.9460179460742288,-2.0704736766640126,0.0,431.6855655777515,305.8324874454034,467.0888885954989,538.1457253780374,5,-74.99999882047241
0.18,-0.002252049554802865,-0.022413667940628712,0.0,1.78463693501042,0.9674854911041386,0.0,0.133456855258609,-0.255250316189728,-0.9003678783991163,-0.34309653285611047,-2.621697320095306,0.0,406.4175519224327,317.3916180877657,546.6561636303261,454.6422718818168,6,-8.999999962478638
0.18,0.0002595102184389101,0.003868666375443308,0.0,5.777731347850189,4.929467194963628,0.0,0.39544095919215516,0.019396923575982383,-0.564272268567112,-1.029753615241341,0.7123390897395518,0.0,325.3693792494994,320.92049082183604,481.34521039789445,463.6054284326289,7,-8.999999962615165
0.18,-0.04345287255912498,-0.019238356830158537,0.0,0.20038640648211015,1.5581203385621079,0.0,-1.0316260853580494,-0.27352987122443573,-0.6163510618307098,-0.9205662972332707,0.5189490239058985,0.0,367.45535880942646,378.1101034458567,520.1980256552154,553.2840993526361,8,-8.999999962539961
0.18,0.00018678826111977794,0.0038216487664948905,0.0,5.734494801038439,4.920081590324198,0.0,0.3951572802973847,0.0192336736567323,-0.5688502148132144,-1.021811819512183,0.7144048615130266,0.0,325.82229691469064,321.22656645421705,481.01079925089005,463.726238071364,9,-8.999999962614243
0.18,-0.0024753528893512846,-0.022089860908605572,0.0,1.9708091880608638,0.8729460994949942,0.0,0.13431763866341503,-0.26201250840292833,-0.8887615672463636,-0.3488394008941732,-2.61652238669533,0.0,406.1791482310464,317.6577545532673,547.1677526804516,454.5998700387625,10,-8.999999962478228
0.23999999999999996,-0.030723081248297663,-0.021774195541378532,0.0,1.2758221379116073,0.9875579866342905,0.0,-0.7467128998658968,-0.3415683442115265,-0.876959309674602,2.123140353532157,-1.7511377600931308,0.0,413.7458905887105,391.4003530550428,486.1895738105706,545.0848085754742,11,-11.99999994927435
0.18,-0.016462052094877295,-0.010121097624954818,0.0,5.550147304255258,2.258830345621295,0.0,-0.16455952896456755,-0.23226705607383374,-1.2756777268679114,0.43826129815543896,-1.438523490027774,0.0,450.2831202547783,383.6643589822845,443.04539390020454,501.1528414468037,12,-8.999999962646491
